ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 20:02:54.985431
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 20:03:27.106206
ERROR:root:;0.04;PRETO;False;False;2;2021-11-06 20:03:58.147258
ERROR:root:;0.08;PRETO;False;False;3;2021-11-06 20:04:30.508458
ERROR:root:;0.16;VERMELHO;False;True;4;2021-11-06 20:05:00.599970
ERROR:root:;0.02;VERMELHO;True;True;1;2021-11-06 20:05:33.379426
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-06 20:08:41.535263
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-06 20:10:15.229673
ERROR:root:;0.04;VERMELHO;False;False;2;2021-11-06 20:10:46.406419
ERROR:root:;0.08;VERMELHO;False;True;3;2021-11-06 20:11:19.524401
ERROR:root:;0.02;PRETO;True;True;1;2021-11-06 20:13:25.309664
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-06 20:13:55.296383
ERROR:root:;0.02;PRETO;True;True;1;2021-11-06 20:14:28.307082
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 20:16:01.847934
ERROR:root:;0.04;PRETO;False;True;2;2021-11-06 20:16:33.073904
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 20:17:05.024156
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 20:18:08.717633
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 20:18:38.769859
ERROR:root:;0.04;PRETO;False;False;2;2021-11-06 20:19:11.196989
ERROR:root:;0.08;PRETO;False;True;3;2021-11-06 20:19:43.695632
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 20:20:13.287486
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 20:20:45.114513
ERROR:root:;0.04;PRETO;False;False;2;2021-11-06 20:21:18.006348
ERROR:root:;0.08;PRETO;False;True;3;2021-11-06 20:21:48.503880
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 20:22:20.424876
ERROR:root:;0.04;PRETO;False;False;2;2021-11-06 20:22:51.034522
ERROR:root:;0.08;PRETO;False;True;3;2021-11-06 20:23:23.601627
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 20:24:24.750627
ERROR:root:;0.04;PRETO;False;True;2;2021-11-06 20:24:57.058319
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-06 20:25:28.723694
ERROR:root:;0.04;VERMELHO;False;False;2;2021-11-06 20:25:59.846307
ERROR:root:;0.08;VERMELHO;False;False;3;2021-11-06 20:26:32.239732
ERROR:root:;0.16;PRETO;False;False;4;2021-11-06 20:27:33.177501
ERROR:root:;0.32;PRETO;False;True;5;2021-11-06 20:28:06.350942
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 20:28:36.351684
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 20:29:08.752454
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 20:30:10.732206
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 20:31:13.526570
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 20:32:48.490371
ERROR:root:;0.04;PRETO;False;True;2;2021-11-06 20:33:21.022074
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 20:38:34.613715
ERROR:root:;0.04;PRETO;False;True;2;2021-11-06 20:39:04.853164
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 20:42:45.696162
ERROR:root:;0.04;PRETO;False;False;2;2021-11-06 20:43:16.390694
ERROR:root:;0.08;PRETO;False;True;3;2021-11-06 20:43:47.258641
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 20:44:18.850685
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-06 20:54:45.785217
ERROR:root:;0.04;VERMELHO;False;False;2;2021-11-06 20:55:16.652628
ERROR:root:;0.08;VERMELHO;False;True;3;2021-11-06 20:55:50.238672
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 20:56:20.995236
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-06 20:56:52.209666
ERROR:root:;0.04;VERMELHO;False;True;2;2021-11-06 20:57:22.897199
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-06 20:58:57.918998
ERROR:root:;0.04;VERMELHO;False;False;2;2021-11-06 20:59:27.643994
ERROR:root:;0.08;VERMELHO;False;True;3;2021-11-06 21:00:00.959460
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 21:18:20.300838
