ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.01;PRETO;False;True;1;2021-11-08 15:43:39.647045
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 15:46:21.890023
ERROR:root:;0.02;VERMELHO;False;True;2;2021-11-08 15:51:08.997961
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 15:51:42.447588
ERROR:root:;0.02;VERMELHO;False;False;2;2021-11-08 15:57:03.178351
ERROR:root:;0.04;VERMELHO;False;True;3;2021-11-08 16:14:14.295165
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 16:15:19.281099
ERROR:root:;0.02;PRETO;False;False;2;2021-11-08 16:18:02.172687
ERROR:root:;0.04;VERMELHO;False;True;3;2021-11-08 16:19:05.908178
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 16:19:37.359762
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 16:20:09.787526
ERROR:root:;0.02;VERMELHO;False;False;2;2021-11-08 16:21:46.318065
ERROR:root:;0.04;PRETO;False;True;3;2021-11-08 16:22:52.774108
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 16:26:36.916152
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 16:27:40.588652
ERROR:root:;0.02;PRETO;False;True;2;2021-11-08 16:34:10.139116
ERROR:root:;0.01;PRETO;False;True;1;2021-11-08 16:35:18.380031
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 16:35:51.055866
ERROR:root:;0.02;PRETO;False;False;2;2021-11-08 16:42:17.182009
ERROR:root:;0.04;VERMELHO;False;True;3;2021-11-08 16:45:29.641102
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 16:55:39.825310
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 16:56:13.094600
ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.01;PRETO;False;True;1;2021-11-08 17:04:46.105516
ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 18:24:57.553656
ERROR:root:;0.02;PRETO;False;False;2;2021-11-08 18:26:33.357096
ERROR:root:;0.04;PRETO;False;False;3;2021-11-08 18:29:14.690192
ERROR:root:;0.08;VERMELHO;False;False;4;2021-11-08 18:30:49.771158
ERROR:root:;0.16;VERMELHO;False;False;5;2021-11-08 18:31:54.710173
ERROR:root:;0.32;PRETO;False;True;6;2021-11-08 18:37:48.081414
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 18:38:18.746483
ERROR:root:;0.02;VERMELHO;False;True;2;2021-11-08 18:40:28.007567
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 18:40:58.679943
ERROR:root:;0.02;VERMELHO;False;False;2;2021-11-08 18:42:34.717853
ERROR:root:;0.04;VERMELHO;False;False;3;2021-11-08 18:44:41.925565
ERROR:root:;0.08;PRETO;False;True;4;2021-11-08 18:46:18.089744
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 19:00:12.788298
ERROR:root:;0.01;VERMELHO;False;False;1;2021-11-08 19:01:48.767679
ERROR:root:;0.02;PRETO;False;False;2;2021-11-08 19:06:10.965583
ERROR:root:;0.04;PRETO;False;False;3;2021-11-08 19:08:51.690943
ERROR:root:;0.08;VERMELHO;False;False;4;2021-11-08 19:10:01.861971
ERROR:root:;0.16;VERMELHO;False;True;5;2021-11-08 19:12:11.483273
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 19:12:42.888169
ERROR:root:;0.01;VERMELHO;False;True;1;2021-11-08 19:13:16.174336
ERROR:root:;0.01;PRETO;True;True;1;2021-11-08 19:14:52.955677
ERROR:root:;0.01;PRETO;True;False;1;2021-11-08 19:15:24.791108
ERROR:root:;0.02;PRETO;False;False;2;2021-11-08 19:17:34.003947
ERROR:root:;0.04;PRETO;False;False;3;2021-11-08 19:19:43.295475
ERROR:root:;0.08;PRETO;False;False;4;2021-11-08 19:21:18.504603
ERROR:root:;0.16;PRETO;False;False;5;2021-11-08 19:22:55.940689
ERROR:root:;0.32;VERMELHO;False;False;6;2021-11-08 19:35:14.773916
ERROR:root:;0.64;VERMELHO;False;False;7;2021-11-08 19:37:56.640991
ERROR:root:;1.28;VERMELHO;False;False;8;2021-11-08 19:40:07.473019
ERROR:root:;2.56;VERMELHO;False;True;9;2021-11-08 19:42:48.837135
ERROR:root:;0.01;PRETO;False;True;1;2021-11-08 19:45:30.606738
ERROR:root:;0.01;PRETO;False;True;1;2021-11-08 19:48:43.580791
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 19:49:47.851211
ERROR:root:;0.02;PRETO;False;True;2;2021-11-08 19:50:55.090085
ERROR:root:;0.01;PRETO;False;True;1;2021-11-08 19:51:28.002200
ERROR:root:;0.01;PRETO;False;False;1;2021-11-08 19:52:00.824888
ERROR:root:;0.02;VERMELHO;False;False;2;2021-11-08 20:04:51.148342
